;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència
Comunitat Valenciana;4963703;23259,14;213,41;23,37;2,59;0,43;119,39;53,95;5003769;23261,98;215,1;23,05;2,41;0,38;121,82;54,03;5057353;23263,9;217,39;22,73;2,24;1,57;124,58;53,83;5058138;23263,43;217,43;20,36;1,91;2,53;128,89;53,78;5097967;23264,49;219,13;17,83;1,52;3,19;133,23;53,76
 Província d'Alacant;1838819;5816,48;316,14;32,39;3,09;1,2;123,21;54,81;1858683;5816,48;319,55;31,73;2,86;1,49;125,66;54,83;1879888;5816,44;323,2;30,08;2,65;2,66;128,08;54,64;1881762;5816,44;323,52;26,27;2,29;3,37;132,39;54,59;1901594;5817,5;326,87;22,06;1,86;3,72;137,89;54,85
  El Comtat;28085;377,81;74,34;9,06;-4,21;2,5;150,68;56,03;28096;377,81;74,37;8,84;-4,39;2,1;154,75;56,13;28047;377,81;74,24;8,68;-4,34;2,19;157,62;56,36;28112;377,81;74,41;8,42;-4,36;2,37;159,66;57,03;28020;377,81;74,16;7,47;-4,66;2,3;161,93;57,4
  L'Alcoià;108821;539,67;201,64;4,18;0,39;-0,56;130,62;54,68;109193;539,67;202,33;4,39;0,15;-0,45;133,66;54,71;110104;539,67;204,02;5,04;-0,03;0,74;137,13;54,78;110283;539,67;204,35;4,79;-0,48;1,89;141,13;54,8;110639;539,66;205,02;4,04;-0,98;2,63;145,37;54,44
  L'Alt Vinalopó / Alto Vinalopó;52335;644,76;81,17;8,82;1,13;-3,04;111,68;52,76;52401;644,76;81,27;8,42;0,75;-3,05;114,38;53,04;52604;644,77;81,59;8,49;0,48;-2,08;118,05;53,18;52557;644,77;81,51;7,54;0,15;-1,47;121,57;53,63;52576;644,77;81,54;5,41;-0,25;-0,93;125,8;54,18
  El Vinalopó Mitjà / El Vinalopó Medio;168432;797,66;211,16;13,51;2,98;-1,74;117,04;52,69;169069;797,66;211,96;13,95;2,62;-1,91;120,44;53,14;169848;797,68;212,93;13,48;2,36;-1,14;124,24;53,26;169898;797,68;212,99;12,15;1,89;-0,03;127,68;53,55;170049;797,68;213,18;9,37;1,42;0,66;132,39;53,74
  La Marina Alta;171826;758,06;226,67;32,58;-1,98;3,04;169,6;61,54;175156;758,06;231,06;31,25;-2,18;3,75;170,44;60,93;178203;758,06;235,08;28,74;-2,38;5,04;170,23;59,82;179651;758,06;236,99;23,81;-2,73;7,36;175,28;59,15;184284;758,06;243,1;19,33;-3,03;7,16;185,83;60,03
  La Marina Baixa;185054;578,67;319,79;51,04;1,54;4,22;134,73;52,39;188623;578,67;325,96;49,23;1,37;5,69;137,49;52,44;190968;578,67;330,01;45,49;1,26;6,98;138,96;52,07;190070;578,67;328,46;37,56;1;6,05;146,84;52,59;192624;578,68;332,87;31;0,67;4,53;155,7;53,83
  L'Alacantí;481885;673,57;715,42;30,69;4,28;3,07;110,44;52,36;487113;673,57;723,18;30,63;4,07;3,73;112,87;52,44;491772;673,57;730,1;29,7;3,87;4,97;115,35;52,39;491975;673,57;730,4;26,68;3,5;5,55;120,32;52,25;494685;674,62;733,28;22,71;3,07;6,12;124,79;52,14
  El Baix Vinalopó;291327;489,21;595,5;24,89;7,28;1,29;96,71;50,95;293775;489,21;600,51;24,57;7,06;1,93;99,34;51,09;297604;489,21;608,33;24,31;6,8;3,5;102,76;51,04;298070;489,21;609,29;22,66;6,49;5,05;107,54;51,21;301635;489,21;616,57;21,46;6,01;6,09;112,78;51,42
  El Baix Segura / La Vega Baja;351054;957,07;366,8;68,66;3,04;-1,43;139,79;61,18;355257;957,07;371,19;65,04;2,84;-2,48;141,54;61;360738;957;376,95;58,15;2,6;-1,52;143,02;60,63;361146;957;377,37;47,96;2,21;-1,56;144,55;60,1;367082;957;383,58;37,36;1,75;-1,12;148,58;60,21
 Província de Castelló;576898;6631,88;86,99;24,95;2,31;-3,15;117,21;54,34;579962;6634,73;87,41;23,95;2,2;-3,41;119,64;54,33;585590;6635,18;88,26;23,44;2,11;-2,4;122,49;54,2;587064;6634,78;88,48;21;1,85;-1,34;126,61;54,18;590616;6634,81;89,02;17,83;1,49;-0,34;129,73;54,15
  Els Ports;4404;904,06;4,87;-15,68;-22,07;-6,09;249,6;65,81;4400;904,06;4,87;-15,92;-21,84;-5,2;250,9;66,54;4357;904,06;4,82;-15,99;-21,05;-6,22;251,61;67,19;4373;904,34;4,84;-15,64;-21,04;-5,15;237,4;66,15;6648;997,9;6,66;-14,3;-17,67;-3,78;231,13;66,24
  L'Alt Maestrat;6745;663,15;10,17;-19,79;-21,04;-5,75;278;74,02;6657;663,15;10,04;-19,87;-20,94;-6,25;280,19;73,54;6622;663,15;9,99;-19,29;-20,85;-6,42;285,87;72,63;6668;662,86;10,06;-17,82;-20,49;-4,9;278,58;71,28;6299;845,48;7,45;-17,85;-24,29;-1,48;314,11;73,62
  El Baix Maestrat;81343;1221,32;66,6;30,54;0,6;-1,17;129,14;57,28;81871;1221,32;67,03;28,7;0,52;-1,23;131,64;57,25;82437;1221,45;67,49;27,06;0,49;-0,15;133,75;57,67;83143;1221,41;68,07;24,19;0,32;1,28;139,25;57,84;84062;1221,41;68,82;21,18;0,06;2,59;143,25;57,97
  L'Alcalatén;15626;648,66;24,09;6,1;-4,69;-6,66;158,86;56,93;15585;648,94;24,02;4,91;-4,91;-6,43;162,18;56,87;15613;648,94;24,06;4,57;-4,96;-4,43;162,25;57,1;15649;648,54;24,13;4,13;-5,46;-2,15;165,9;56,8;13908;391,18;35,55;4,52;-3,24;-1,62;157,05;54,52
  La Plana Alta;250981;957,31;262,17;33,17;4,7;-4,34;107,74;52,35;252828;960,12;263,33;31,83;4,58;-4,55;110,41;52,55;256455;960,46;267,01;30,97;4,44;-2,95;113,68;52,27;256413;960,46;266,97;26,84;4,16;-2,33;118,05;52,47;257573;941,65;273,53;21,78;3,78;-1,53;121,06;52,59
  La Plana Baixa;190312;605,15;314,49;21,96;3,93;-2,4;105,89;53,41;191015;604,91;315,77;21,32;3,81;-2,84;108,24;53,22;192283;604,91;317,87;21,13;3,64;-2,53;111;53,1;192495;604,91;318,22;19,51;3,36;-1,39;114,71;52,92;193553;604,91;319,97;17,49;2,95;-0,44;118,04;52,69
  El Alto Palancia;23703;965,17;24,56;5,83;-9,42;-0,91;188,49;62,82;23753;965,17;24,61;5,83;-9,64;-1,75;189,15;62,55;23966;965,15;24,83;6,66;-9,48;-1,15;191,56;62,13;24401;965,38;25,28;8,23;-9,45;1,44;192,63;60,71;24595;965,42;25,48;7,73;-9,88;3,57;190,04;60,43
  El Alto Mijares;3784;667,07;5,67;-8,22;-29,1;3,75;470,91;70,91;3853;667,07;5,78;-8,22;-28,47;6,1;465,09;67,59;3857;667,07;5,78;-7,44;-27,98;5,16;474,72;66,9;3922;666,87;5,88;-4,92;-27,84;6,71;471,79;66,12;3978;666,87;5,97;-2,02;-28,03;8,37;433,78;65,89
 Província de València;2547986;10810,78;235,69;17,27;2,29;0,68;117,16;53,25;2565124;10810,78;237,27;17,26;2,13;0,44;119,55;53,38;2591875;10812,27;239,72;17,75;1,98;1,66;122,54;53,17;2589312;10812,2;239,48;16,26;1,64;2,8;126,88;53,1;2605757;10812,18;241;14,92;1,28;3,61;130,66;52,89
  El Rincón de Ademuz;2244;370,22;6,06;-24,29;-29,59;-9,05;244;72,88;2266;370,22;6,12;-21,94;-29,08;-10,02;255,3;70,63;2235;370,22;6,04;-23,46;-29,93;-11,45;250;69,58;2221;370,11;6;-22,45;-30,17;-12,25;263,31;68,26;2189;370,11;5,91;-22,21;-31,25;-9,68;268,6;68,77
  Los Serranos;16124;1405,27;11,47;-5,38;-15,66;-6,98;248,86;63,38;16159;1405,27;11,5;-4,89;-15,59;-5,16;252,9;63,42;16131;1405,26;11,48;-6,56;-15,64;-3,82;250,59;62,69;16468;1405,26;11,72;-4,17;-15,31;-2,57;251;62,02;16604;1405,34;11,81;-3,06;-15,24;0,96;255,95;62,72
  El Camp de Túria;160266;823,38;194,64;75,51;6,54;11,5;80,06;49,44;162991;823,38;197,95;71,75;6,52;10,73;82,93;49,91;165771;823,4;201,32;67,31;6,37;10,91;86,04;49,51;168624;823,4;204,79;64,21;6,11;11,49;90,45;48,97;172408;823,29;209,41;61,91;5,78;12,74;93,74;49,02
  El Camp de Morvedre;90811;271,22;334,83;24,38;0,13;2,08;126,92;56,67;91662;271,22;337,96;24,94;-0,01;2,22;128,96;56,66;93019;272,88;340,88;26,22;-0,07;3,71;131,03;56,63;93374;272,88;342,18;25,93;-0,48;5,27;136,37;56,91;94961;272,88;348;26,63;-0,79;7,43;138,58;56,78
  L'Horta Nord;226513;140,53;1611,86;29,6;4,86;3,56;98,32;51,51;228424;140,53;1625,46;28,58;4,65;2,93;100,98;51,6;231276;140,55;1645,48;27,96;4,42;4,02;104,87;51,32;232150;140,54;1651,82;26,39;4,12;4,82;109,39;51,2;305422;176,39;1731,48;29,27;5,26;4,92;104,07;51,17
  L'Horta Oest;350258;178,78;1959,2;22,98;6,68;0,81;91,97;51,58;354334;178,78;1982;22,66;6,34;1,08;94,72;51,56;359337;178,78;2009,99;23,41;6,09;2,03;97,8;51,36;359890;178,78;2013,08;22,84;5,76;2,89;101,55;51,4;-;-;-;-;-;-;-;-
  València;791413;139,31;5680,75;7,03;0,55;-0,35;142,22;54,49;794288;139,31;5701,39;7,42;0,45;-0,88;144,33;54,6;800215;139,31;5743,93;8,28;0,34;0,78;147,72;54,42;789744;139,27;5670,65;5,78;-0,02;2,23;153,77;54,62;792492;139,27;5690,38;4,02;-0,38;2,36;157,44;54,33
  L'Horta Sud;175753;166,16;1057,75;26,61;6,71;1,67;92,28;52,02;178118;166,16;1071,98;27,9;6,5;1,72;94,34;52,04;180943;166,16;1088,98;29,5;6,28;3,07;96,45;51,63;181702;166,16;1093,55;28,57;6,01;3,95;100,44;51,3;472871;309,08;1529,92;20,09;4,73;4,32;110,54;51,09
  La Plana de Utiel-Requena;37786;1721,03;21,96;0,19;-5,76;-1,1;157,51;59,62;37753;1721,03;21,94;-0,12;-5,69;-2,26;161,55;59,58;37820;1720,82;21,98;-0,12;-5,95;-1,99;164,11;59,48;37690;1720,91;21,9;-1,3;-6,38;-1,81;166,85;59,47;37536;1720,91;21,81;-2,16;-6,71;-0,84;176,31;59,15
  La Hoya de Buñol;42205;817,36;51,64;28,84;1,13;4,36;112,65;53,28;42598;817,36;52,12;27,77;1;3,46;117,5;53,31;43325;817,36;53,01;28,18;0,81;4,76;119,67;53,01;44020;817,36;53,86;28,78;0,56;5,61;123,57;52,41;45090;817,36;55,17;29,77;0,34;7,6;125,82;51,71
  El Valle de Cofrentes-Ayora;9855;1141,16;8,64;-4,63;-12,44;-0,48;258,8;64,8;9835;1141,16;8,62;-5,73;-12,74;0,59;262,27;65,66;9745;1141,16;8,54;-6,92;-12,83;1,08;267,4;65,73;9644;1141,16;8,45;-7,13;-13,63;-0,06;273,05;66,02;9582;1141,17;8,4;-7,46;-13,94;0,03;272,44;66,44
  La Ribera Alta;219838;969,97;226,64;10,73;0,95;0,08;114,17;53,5;220366;969,97;227,19;11,03;0,79;-0,37;115,19;53,81;222473;969,97;229,36;11,66;0,73;0,41;116,73;53,71;223502;969,97;230,42;12,05;0,39;1,4;118,94;53,53;225216;969,97;232,19;11,97;0,04;2,58;120,58;53,14
  La Ribera Baixa;79579;276,85;287,44;10,55;-1,24;-0,39;133,67;54,56;79869;276,85;288,49;10,39;-1,44;-0,28;135,76;54,55;80356;276,85;290,25;11,88;-1,73;1,02;138,1;54,46;80789;276,85;291,82;9,41;-2,09;2,86;142,04;54,25;81245;276,85;293,46;10,17;-2,42;4,24;146,16;53,82
  La Canal de Navarrés;15761;709,29;22,22;-2,35;-9,74;-3,32;187,44;59,52;15687;709,29;22,12;-2,37;-10,03;-3,52;190,76;60,56;15715;709,29;22,16;-2,14;-10;-3,07;197,99;60,5;15720;709,29;22,16;-5,18;-10,83;-2,19;201,85;59,46;15624;709,29;22,03;-8,08;-11,21;-1,98;204,71;58,43
  La Costera;71362;528,26;135,09;10,5;0,05;-1,59;123,43;51,54;71522;528,26;135,39;9,61;-0,21;-1,42;126,66;51,86;71830;528,26;135,98;9,29;-0,52;-0,85;130,7;51,64;71522;528,26;135,39;7,08;-0,87;-0,82;134,49;51,45;71697;528,26;135,72;6,17;-1,26;-0,2;140,09;51,58
  La Vall d'Albaida;87532;722,21;121,2;7,99;1,29;-4,34;128,08;53,09;87349;722,21;120,95;7,39;1,01;-4,55;132,36;53,3;87555;722,21;121,23;6,98;0,71;-3,9;136,36;53,3;87674;722,21;121,4;5,54;0,2;-2,73;140,36;52,98;87593;722,21;121,28;2,96;-0,38;-1,22;145,09;53,13
  La Safor;170686;429,81;397,12;24,09;1,55;-5,07;119,89;52,79;171903;429,81;399,95;23,47;1,36;-4,51;122,8;52,96;174129;429,81;405,13;23,7;1,13;-2,66;126,27;52,86;174578;429,81;406,18;21,92;0,73;-0,8;130,16;52,79;175227;429,81;407,69;19,83;0,3;0,12;134,62;52,75
